magnet,include
CP20/40,1
CP20/50,1
CP20/60,1
CP20/80,1
CP20/100,1
CP20/120,1
CP20/140,1
CP20/160,1
CP20/180,1
CP25/40,1
CP25/50,1
CP25/60,1
CP25/80,1
CP25/100,1
CP25/120,1
CP25/140,1
CP25/160,1
CP25/180,1
FH5.18/60,1
FH5.18/90,1
FH5.18/120,1
FH5.18/150,1
FH5.18/180,1
TP25/80,1
TP25/100,1
TP25/120,1
TP25/140,1
TP25/160,1
TP25/180,1
TP20/80,1
TP20/100,1
TP20/120,1
TP20/140,1
TP20/160,1
TP20/180,1
TP15/80,1
TP15/100,1
TP15/120,1
TP15/140,1
TP15/160,1
TP15/180,1
TP17/80,0
TP17/100,0
TP17/120,0
TP17/140,0
TP17/160,0
TP17/180,0
SP6548,1
SP6554,1
SP6560,1
SP6648,1
SP6654,1
SP6660,1
RV2.25/120,1
RV2.25/150,1
RV2.25/170,1
RV2.25/180,0
RH2.21/120,0
RH2.21/150,0
RH2.21/170,0
RH2.21/180,0
FH8.20/60,0
FH8.20/90,0
FH8.20/120,0
FH8.20/150,0
FH8.20/180,0
FH8.23/60,0
FH8.23/90,0
FH8.23/120,0
FH8.23/150,0
FH8.23/180,0
FH8.21/60,0
FH8.21/90,0
FH8.21/120,0
FH8.21/150,0
FH8.21/180,0
